Customer_ID,Gender,Country,Product,Price,Product_Model
1000,Male,Thailand,Samsung,34366.0,Samsung Galaxy S22
1001,Female,UK,Xiaomi,9107.0,Xiaomi Redmi Note 11
1002,Male,USA,iPhone,21341.0,iPhone SE 2022
1003,Male,China,iPhone,108411.0,iPhone 13 Mini
1004,Male,India,iPhone,12374.0,iPhone 14 Pro
1005,Female,USA,iPhone,40676.0,iPhone SE 2022
1006,Male,USA,Huawei,12895.0,Huawei P50
1007,Male,China,iPhone,32254.0,iPhone 14 Pro
1008,Male,India,Huawei,26092.0,Huawei Nova 9
1009,Female,UK,Huawei,190436.0,Huawei P50
1010,Male,Germany,iPhone,,iPhone 13 Mini
1011,Male,UK,iPhone,41988.0,iPhone SE 2022
1012,Male,India,Samsung,12421.0,Samsung Galaxy Z Flip4
1013,Male,Japan,Xiaomi,190456.0,Xiaomi Redmi Note 11
1014,Female,China,iPhone,45285.0,iPhone 13 Mini
1015,Male,UK,Samsung,15319.0,Samsung Galaxy S22
1016,Female,USA,Samsung,25896.0,Samsung Galaxy S22
1017,Female,China,Xiaomi,2902.0,Xiaomi Mi 11 Ultra
1018,Female,Thailand,Huawei,28771.0,Huawei Mate 40 Pro
1019,Male,India,iPhone,31918.0,iPhone 13 Mini
1020,Female,UK,Xiaomi,16834.0,Xiaomi Poco X3
1021,Male,China,iPhone,40377.0,iPhone SE 2022
1022,Female,UK,Samsung,138498.0,Samsung Galaxy A53
1023,Female,,Samsung,130734.0,Samsung Galaxy S22
1024,Female,USA,Huawei,80580.0,Huawei Nova 9
1025,Female,Thailand,Samsung,111744.0,Samsung Galaxy S22
1026,Female,Thailand,Samsung,37935.0,Samsung Galaxy A53
1027,Female,Japan,Xiaomi,9873.0,Xiaomi Poco X3
1028,Female,China,iPhone,49711.0,iPhone SE 2022
1029,Female,UK,iPhone,24806.0,iPhone 13 Mini
1030,Male,Thailand,Xiaomi,,Xiaomi Redmi Note 11
1031,Male,India,Huawei,19182.0,Huawei Nova 9
1032,Female,Thailand,iPhone,42297.0,iPhone SE 2022
1033,Female,Germany,Samsung,33508.0,Samsung Galaxy Z Flip4
1034,Female,Germany,iPhone,39541.0,iPhone SE 2022
1035,Male,Thailand,Samsung,38921.0,Samsung Galaxy S22
1036,Female,China,Huawei,193309.0,Huawei Mate 40 Pro
1037,Male,Japan,Xiaomi,177506.0,Xiaomi Poco X3
1038,Male,Thailand,iPhone,24430.0,iPhone SE 2022
1039,Male,,Xiaomi,150210.0,Xiaomi Redmi Note 11
1040,Male,UK,iPhone,189385.0,iPhone 14 Pro
1041,Male,Japan,Samsung,21314.0,Samsung Galaxy Z Flip4
1042,Female,USA,Xiaomi,16122.0,Xiaomi Poco X3
1043,Female,Japan,iPhone,35023.0,iPhone 14 Pro
1044,Female,USA,Samsung,18007.0,Samsung Galaxy Z Flip4
1045,Female,UK,Xiaomi,6521.0,Xiaomi Redmi Note 11
1046,Female,UK,Xiaomi,14018.0,Xiaomi Redmi Note 11
1047,Male,Germany,iPhone,49398.0,iPhone 13 Mini
1048,Female,China,iPhone,185473.0,iPhone 13 Mini
1049,Female,USA,iPhone,26737.0,iPhone 13 Mini
1050,Male,Germany,Samsung,13294.0,Samsung Galaxy Z Flip4
1051,Female,USA,iPhone,41469.0,iPhone 14 Pro
1052,Male,Germany,Xiaomi,168968.0,Xiaomi Redmi Note 11
1053,Female,UK,Xiaomi,4708.0,Xiaomi Redmi Note 11
1054,Male,,iPhone,120039.0,iPhone 14 Pro
1055,Female,India,iPhone,24497.0,iPhone 13 Mini
1056,Female,Germany,Huawei,138990.0,Huawei Nova 9
1057,Male,USA,Xiaomi,8561.0,Xiaomi Redmi Note 11
1058,Male,USA,Samsung,185761.0,Samsung Galaxy Z Flip4
1059,Female,India,Huawei,,Huawei Mate 40 Pro
1060,Male,China,iPhone,159251.0,iPhone 13 Mini
1061,Male,UK,iPhone,187134.0,iPhone 13 Mini
1062,Male,USA,Xiaomi,8223.0,Xiaomi Redmi Note 11
1063,Male,,iPhone,43522.0,iPhone SE 2022
1064,Male,Japan,Samsung,12667.0,Samsung Galaxy S22
1065,Female,Germany,Xiaomi,19523.0,Xiaomi Mi 11 Ultra
1066,Female,China,,100731.0,iPhone 14 Pro
1067,Male,India,,18409.0,Xiaomi Mi 11 Ultra
1068,Female,Japan,iPhone,36514.0,iPhone SE 2022
1069,Female,UK,iPhone,49866.0,iPhone 14 Pro
1070,Female,,iPhone,22983.0,iPhone 13 Mini
1071,Female,Germany,Samsung,30662.0,Samsung Galaxy A53
1072,Male,Germany,Samsung,33510.0,Samsung Galaxy S22
1073,Female,India,Xiaomi,151415.0,Xiaomi Mi 11 Ultra
